FIPS,State,# schools,Total #,yield per teacher,# passed,% passed,# female,# female passed,% female passed,%female,# Black,# Black Passed,% Black passed,% black,# Black Males,# Black Males passed,% Black Male passed,# Black Females,# Black Females passed,% Black Females passed,# Hispanic,# Hispanic passed,% Hispanic passed,# Hispanic Females,# Hispanic Females passed,% Hispanic females passed,% hispanic
1,AL,14,97,6.928571429,61,62.88659794,12,10,83.33333333,12.37113402,9,5,55.55555556,9.278350515,8,4,50,1,*,*,2,*,*,0,0,0,2.06185567
2,AK,2,13,6.5,12,92.30769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*,*,0,0,0,7.692307692
4,AZ,21,132,6.285714286,86,65.15151515,23,15,65.2173913,17.42424242,1,*,*,0.757575758,1,*,*,0,0,0,21,8,38.0952381,4,*,*,15.90909091
5,AR,11,146,13.27272727,42,28.76712329,26,4,15.38461538,17.80821918,3,*,*,2.054794521,2,*,*,1,*,*,18,1,5.555555556,2,*,*,12.32876712
6,CA,192,3920,20.41666667,2862,73.01020408,833,553,66.38655462,21.25,45,22,48.88888889,1.147959184,30,18,60,15,4,26.66666667,314,136,43.31210191,75,22,29.33333333,8.010204082
8,CO,36,308,8.555555556,216,70.12987013,37,21,56.75675676,12.01298701,9,4,44.44444444,2.922077922,7,4,57.14285714,2,*,*,33,15,45.45454545,4,*,*,10.71428571
9,CT,48,436,9.083333333,265,60.77981651,76,51,67.10526316,17.43119266,17,7,41.17647059,3.899082569,15,6,40,2,*,*,28,10,35.71428571,8,2,25,6.422018349
10,DE,8,61,7.625,39,63.93442623,5,4,80,8.196721311,2,*,*,3.278688525,2,*,*,0,0,0,1,*,*,0,0,0,1.639344262
11,DC,7,61,8.714285714,51,83.60655738,3,*,*,4.918032787,5,2,40,8.196721311,5,2,40,0,0,0,8,5,62.5,0,0,0,13.1147541
12,FL,90,1310,14.55555556,562,42.90076336,273,80,29.3040293,20.83969466,105,13,12.38095238,8.015267176,78,11,14.1025641,27,2,7.407407407,241,102,42.32365145,42,10,23.80952381,18.39694656
13,GA,72,1037,14.40277778,481,46.38379942,190,66,34.73684211,18.32208293,137,22,16.05839416,13.21118611,98,18,18.36734694,39,4,10.25641026,56,21,37.5,11,3,27.27272727,5.400192864
15,HI,9,71,7.888888889,33,46.47887324,15,6,40,21.12676056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ID,6,39,6.5,24,61.53846154,6,3,50,15.38461538,0,0,0,0,0,0,0,0,0,0,2,*,*,1,*,*,5.128205128
17,IL,82,1199,14.62195122,819,68.30692244,183,108,59.01639344,15.26271893,47,11,23.40425532,3.919933278,33,9,27.27272727,14,2,14.28571429,113,30,26.54867257,31,6,19.35483871,9.424520434
18,IN,28,247,8.821428571,152,61.53846154,23,13,56.52173913,9.311740891,5,3,60,2.024291498,5,3,60,0,0,0,8,0,0,2,*,*,3.238866397
19,IA,12,69,5.75,53,76.8115942,9,5,55.55555556,13.04347826,0,0,0,0,0,0,0,0,0,0,1,*,*,0,0,0,1.449275362
20,KS,12,34,2.833333333,23,67.64705882,3,*,*,8.823529412,1,*,*,2.941176471,1,*,*,0,0,0,0,0,0,0,0,0,0
21,KY,30,280,9.333333333,158,56.42857143,62,40,64.51612903,22.14285714,5,2,23.40425532,1.785714286,2,*,*,3,*,*,3,*,*,1,*,*,1.071428571
22,LA,21,45,2.142857143,25,55.55555556,4,*,*,8.888888889,4,*,*,8.888888889,2,*,*,2,*,*,2,*,*,0,0,0,4.444444444
